0.129252,0.353132,0.802515,5.01342,10.5652,4.36363,1.06608,0.365894,0.0916451,0.0252535,0.00975448,0.00350602,0.00141724,0.000583178,0.000195898,8.81E-05,4.61E-05,1.37E-05,6.94E-06,1.61E-06,4.10E-07,1.94E-07,8.29E-08,2.70E-08,1.31E-08,5.30E-09,2.45E-09,1.04E-09,4.91E-10,1.48E-10,3.65E-11,9.29E-12,4.43E-12,1.38E-12,6.04E-13, 
-2.4753,-1.19595,-0.653338,-0.347079,-0.0976719,-0.0411808,-0.0125379,-0.00444082,-0.00173704,-0.000484806,-0.000169705,-6.14E-05,-2.09E-05,-5.80E-06,-7.54E-07,-3.14E-07,-7.69E-08,2.28E-09,3.25E-08,1.99E-08,9.55E-09,2.47E-09,1.39E-09,8.52E-10,2.13E-10,1.27E-10,5.67E-11,2.26E-11,9.41E-12,4.23E-12,1.27E-12,6.39E-13,2.51E-13,1.23E-13,4.49E-14, 
-0.718597,-0.395281,-0.24925,-0.167865,-0.0580069,-0.0207053,-0.00750423,-0.00278225,-0.00157042,-0.000465327,-0.000108201,-3.95E-05,-2.01E-05,-7.23E-06,-2.35E-06,-1.07E-06,-2.38E-07,-6.05E-08,-1.84E-08,-4.84E-09,-2.16E-10,5.49E-10,3.69E-10,1.64E-10,8.25E-11,3.97E-11,2.08E-11,1.03E-11,4.05E-12,2.02E-12,9.09E-13,3.84E-13,1.24E-13,6.62E-14,2.78E-14, 
-0.195715,-0.14625,-0.103663,-0.0517616,-0.0249437,-0.00842929,-0.0039357,-0.00141089,-0.000762435,-0.000265841,-8.13E-05,-4.97E-05,-1.44E-05,-5.70E-06,-1.86E-06,-8.49E-07,-2.82E-07,-7.72E-08,-3.12E-08,-1.21E-08,-4.41E-09,-6.99E-10,-9.41E-11,2.79E-12,1.88E-11,9.98E-12,6.66E-12,3.49E-12,1.72E-12,9.26E-13,4.14E-13,2.16E-13,6.98E-14,3.33E-14,1.81E-14, 
-0.0970446,-0.0510082,-0.0445445,-0.0241399,-0.0108775,-0.00438983,-0.00195211,-0.000901922,-0.000295089,-0.000162761,-5.00E-05,-2.75E-05,-9.64E-06,-4.04E-06,-1.48E-06,-6.29E-07,-2.17E-07,-9.54E-08,-2.48E-08,-8.45E-09,-4.97E-09,-5.68E-10,-2.05E-10,-7.14E-11,-1.52E-11,-3.79E-12,-6.86E-13,5.17E-13,6.39E-13,3.44E-13,1.40E-13,7.30E-14,4.56E-14,1.94E-14,9.02E-15, 
-0.0539635,-0.0270212,-0.020339,-0.013451,-0.00555894,-0.00240908,-0.00117018,-0.000558534,-0.000191093,-0.000105077,-5.50E-05,-1.73E-05,-8.17E-06,-2.36E-06,-8.07E-07,-3.75E-07,-1.50E-07,-5.97E-08,-2.10E-08,-7.89E-09,-3.23E-09,-7.60E-10,-3.93E-10,-1.53E-10,-4.68E-11,-1.39E-11,-2.94E-12,-6.14E-13,9.97E-14,1.15E-13,7.71E-14,4.23E-14,2.44E-14,1.32E-14,6.32E-15, 
-0.014277,-0.0108038,-0.0058117,-0.00555894,-0.00221115,-0.000980686,-0.000459588,-0.000335065,-0.000146316,-7.13E-05,-4.01E-05,-1.60E-05,-5.36E-06,-1.51E-06,-8.01E-07,-2.61E-07,-8.30E-08,-4.48E-08,-1.21E-08,-6.71E-09,-3.23E-09,-8.76E-10,-3.61E-10,-1.33E-10,-4.30E-11,-1.51E-11,-4.54E-12,-1.62E-12,-2.66E-13,-2.93E-14,6.13E-15,1.01E-14,1.08E-14,3.56E-15,3.23E-15, 
-0.0048928,-0.00419418,-0.00266553,-0.00138571,-0.000940335,-0.000463879,-0.000274331,-0.000152719,-6.27E-05,-3.60E-05,-1.91E-05,-7.39E-06,-2.85E-06,-1.17E-06,-5.10E-07,-2.63E-07,-7.85E-08,-4.19E-08,-1.50E-08,-5.79E-09,-1.79E-09,-6.75E-10,-3.04E-10,-1.20E-10,-4.64E-11,-1.36E-11,-4.72E-12,-9.51E-13,-2.61E-13,-8.76E-14,-2.53E-14,-6.10E-15,5.35E-16,1.08E-15,1.05E-15, 
-0.00197011,-0.00165693,-0.0010236,-0.000624106,-0.000381071,-0.000229946,-0.000131117,-8.23E-05,-4.32E-05,-2.31E-05,-8.59E-06,-2.97E-06,-1.02E-06,-6.35E-07,-2.98E-07,-1.13E-07,-5.27E-08,-2.17E-08,-5.45E-09,-2.61E-09,-1.09E-09,-3.70E-10,-1.72E-10,-8.33E-11,-2.53E-11,-9.10E-12,-3.79E-12,-1.26E-12,-4.28E-13,-1.86E-13,-5.49E-14,-1.37E-14,-8.65E-15,-7.53E-16,1.87E-16, 
-0.000804788,-0.000625741,-0.000444243,-0.000260787,-0.000145523,-6.59E-05,-5.49E-05,-3.82E-05,-1.63E-05,-8.22E-06,-2.68E-06,-1.17E-06,-6.29E-07,-4.17E-07,-1.69E-07,-5.81E-08,-2.33E-08,-1.05E-08,-3.66E-09,-1.44E-09,-6.46E-10,-2.30E-10,-1.05E-10,-5.10E-11,-1.63E-11,-5.40E-12,-2.21E-12,-8.27E-13,-3.20E-13,-1.15E-13,-4.70E-14,-1.81E-14,-4.85E-15,-1.47E-15,-4.05E-16, 
-0.000242272,-0.000236707,-0.000202069,-0.000139714,-6.49E-05,-3.72E-05,-2.98E-05,-1.32E-05,-7.14E-06,-3.65E-06,-1.77E-06,-8.50E-07,-2.90E-07,-1.71E-07,-9.18E-08,-4.17E-08,-1.39E-08,-5.76E-09,-2.30E-09,-7.95E-10,-3.40E-10,-1.49E-10,-7.82E-11,-3.22E-11,-1.23E-11,-3.89E-12,-1.74E-12,-7.46E-13,-2.22E-13,-7.66E-14,-3.31E-14,-1.20E-14,-3.27E-15,-1.69E-15,-3.44E-16, 
